0,1,2,3,4
55893,34829,34829,35321,40862
61583,49459,49459,45481,44393
49518,47348,47348,46244,43458
83678,69726,69726,72042,65832
73687,53062,53062,45695,43464
51625,40396,40396,38297,42260
108220,86289,86289,82379,93972
72307,52463,52463,47344,51101
83514,62548,62548,59799,61461
68932,63256,63256,64081,58167
146955,143651,143651,130966,111478
76135,67759,67759,64407,60886
73052,44895,44895,43968,41296
51122,43657,43657,40128,35889
42283,35853,35853,33486,33617
114353,81824,81824,85696,87903
91379,62555,62555,62352,62708
71733,63749,63749,63947,66159
92651,74478,74478,74634,73493
83618,57976,57976,44755,55578
116036,96166,96166,91270,93579
116499,90969,90969,92619,90643
129489,129356,129356,125394,116158
65902,60338,60338,53670,56244
86902,88311,88311,89217,71168
120724,113504,113504,112921,107913
57284,47146,47146,45013,38851
125232,69264,69264,66292,75023
77109,56118,56118,57331,48777
63655,41358,41358,30780,38759
47469,40705,40705,36506,33629
62311,55646,55646,53970,50911
65086,57193,57193,57983,59137
73601,68184,68184,64943,60776
93553,62327,62327,63296,70624
136975,97433,97433,99933,92912
59053,54586,54586,48520,48323
92604,71184,71184,75949,76053
33785,29777,29777,29869,28632
29865,16885,16885,18770,23519
44165,43386,43386,42654,41500
35351,36681,36681,38073,31699
41950,33024,33024,22997,21709
50310,49933,49933,45127,43919
60180,39955,39955,38252,36067
48493,30733,30733,24477,25060
74461,54934,54934,48160,52523
105476,111456,111456,103676,94788
65968,47060,47060,47885,46705
36149,27563,27563,20873,20739
53836,40992,40992,39558,38747
28173,15975,15975,13513,13182
70853,69757,69757,66619,64266
37029,33072,33072,32637,32102
64213,44290,44290,42383,41117
76214,59381,59381,57478,62589
36153,26869,26869,27705,29298
41375,38606,38606,34584,38920
46711,32327,32327,31753,33264
69931,54387,54387,49035,48878
67282,43848,43848,46894,44127
36667,24121,24121,23768,21795
37005,34063,34063,34378,31265
32916,21474,21474,21015,25887
31634,26941,26941,24773,19649
65314,44471,44471,44531,43192
62700,55610,55610,55605,57625
19564,13064,13064,13233,13015
57747,52392,52392,54076,47718
69840,61943,61943,60863,52777
60386,52561,52561,48886,37183
117659,99633,99633,99086,96320
45165,41071,41071,37118,37202
103687,64204,64204,67692,78934
59032,46784,46784,43120,36095
51298,43814,43814,43295,44176
49108,41540,41540,38951,37830
30318,17967,17967,18140,20302
23128,24535,24535,23176,22120
29198,23730,23730,18664,19351
24199,14831,14831,13680,15503
65996,47580,47580,42188,41297
68132,45834,45834,43439,47278
54823,39261,39261,43594,43815
61130,39365,39365,43447,43185
55095,43309,43309,44364,45197
103136,72849,72849,80230,73524
28790,12377,12377,12755,17801
38102,29275,29275,27762,28163
95495,66368,66368,58026,71164
47374,35469,35469,33655,34677
70417,83785,83785,71919,67428
46251,43534,43534,40866,41590
35447,19188,19188,17131,19812
46502,28780,28780,29030,28042
75165,61908,61908,64435,54367
18917,10075,10075,9784,10403
56193,45209,45209,41545,38312
46251,43534,43534,40866,41590
71769,55861,55861,58099,55524
46366,30974,30974,31262,35320
30824,21560,21560,21400,23880
83375,68144,68144,60167,50606
55444,33984,33984,25304,30324
48037,34920,34920,29051,30200
76211,55420,55420,49057,47937
34358,21267,21267,22441,24502
85641,78316,78316,70007,69797
83124,63530,63530,63200,62888
76211,55420,55420,49057,47937
88733,71793,71793,62385,60271
49489,38941,38941,35348,34974
29336,25645,25645,24750,26291
34185,23210,23210,22134,26044
91503,64818,64818,60056,57137
89565,72415,72415,67861,62806
117808,105674,105674,105783,106471
43142,35571,35571,30106,31178
60306,42454,42454,43857,45294
25005,17700,17700,16078,14661
102485,93628,93628,93770,94435
49435,27636,27636,28061,30257
13217,11293,11293,10550,9454
90131,50570,50570,55597,59677
86325,58603,58603,58259,57051
26281,15161,15161,15291,16936
52530,30211,30211,24985,25256
57716,52983,52983,43672,38128
38067,26272,26272,26404,28364
68208,53560,53560,47789,45840
98351,47537,47537,51745,65167
51048,51664,51664,47728,47490
34109,26161,26161,25742,27081
34837,19785,19785,18147,23896
23110,13907,13907,12965,14417
12634,8782,8782,8433,8429
137237,97664,97664,89134,84009
37161,30205,30205,28191,26122
30052,23267,23267,20807,15745
134043,90473,90473,87818,69721
18865,11737,11737,12288,13888
25493,13551,13551,13254,8815
37743,16633,16633,14588,13386
22112,13829,13829,14451,11225
89579,44770,44770,44764,45555
39473,27415,27415,24821,24301
25679,23843,23843,22795,21717
58513,38005,38005,35830,36936
22476,14023,14023,14378,18816
79271,65310,65310,62482,68981
46686,41046,41046,34691,32904
17276,13871,13871,13414,12630
57737,45067,45067,37681,38438
67455,60401,60401,54730,48699
71278,50417,50417,49942,46407
39181,44497,44497,38874,29747
52481,37248,37248,29798,22158
25105,18930,18930,17853,18315
23147,10432,10432,9975,8620
58847,42530,42530,38852,42476
41873,27363,27363,24886,22954
53055,48572,48572,44181,39739
14237,10576,10576,9409,8985
14711,15253,15253,12884,13456
46838,19928,19928,21818,19787
11494,14098,14098,10996,8473
49417,34154,34154,34427,43338
56779,50697,50697,43192,35125
17454,13325,13325,12988,13018
56738,23516,23516,20837,19528
24536,13267,13267,12816,13564
37747,36159,36159,32076,25445
46785,31415,31415,29306,31316
56131,32748,32748,32634,33426
94904,35580,35580,33256,28700
27860,21447,21447,22919,22648
42094,23630,23630,18952,20729
22162,12699,12699,10397,10238
23671,23012,23012,21256,21003
34538,15551,15551,17062,16829
105868,75081,75081,56934,57365
21565,13578,13578,11548,11832
54601,41992,41992,41746,37885
88877,75843,75843,67862,66980
36811,16572,16572,17812,16890
57493,38428,38428,35109,36451
50843,22408,22408,21459,28408
77664,52115,52115,51109,50569
39049,36448,36448,32409,31644
36468,34897,34897,33609,33881
97232,70042,70042,64987,59658
52104,22020,22020,18215,16434
24005,11118,11118,9567,8019
60815,47680,47680,38330,37325
28733,19388,19388,17340,15749
27855,21013,21013,20086,19669
32076,28937,28937,25718,23775
75134,66297,66297,64082,60103
23849,24615,24615,24348,16915
68867,72434,72434,74929,61418
64486,33913,33913,31198,32605
62804,47072,47072,45749,47831
39662,33159,33159,26117,23836
35244,17013,17013,14136,14916
58419,42069,42069,41399,43374
31941,32998,32998,27952,25846
27813,22099,22099,20370,15888
57784,29766,29766,27043,27060
66434,51262,51262,48136,46590
53719,49832,49832,48015,43635
58442,38549,38549,36413,39558
62571,39756,39756,45082,41802
61756,39659,39659,43733,43806
60117,45018,45018,52852,57522
