0,1,2,3,4
28774,19309,19309,17409,16127
31418,28681,28681,25493,18187
43089,35683,35683,32966,29922
33666,14591,14591,14861,15953
59012,51091,51091,46242,45407
28159,13068,13068,11448,10998
42378,35092,35092,32442,34438
26321,23421,23421,21102,19591
89253,66711,66711,69547,56820
56989,42256,42256,40834,39327
42281,42460,42460,30425,26487
28383,17415,17415,16147,15398
49276,45384,45384,41023,36636
25479,11973,11973,12180,12371
35696,29337,29337,24967,24054
9662,7609,7609,7035,6901
38249,21950,21950,19492,19798
75380,43495,43495,40355,45026
38803,26356,26356,20497,21847
39059,21045,21045,19909,20808
17005,11485,11485,10627,11597
57300,48521,48521,47130,42924
22992,11273,11273,9944,9947
18019,11992,11992,7199,6388
44075,29753,29753,26303,26795
20313,17467,17467,17576,13931
54147,34484,34484,34304,36173
20070,14928,14928,15002,13751
8373,7825,7825,7611,7166
57232,44305,44305,38142,37303
25563,18953,18953,15176,11473
33418,23114,23114,19297,18243
27939,19371,19371,18427,18917
73365,45639,45639,45844,46242
20485,13620,13620,11707,11503
23930,19784,19784,14696,13527
24872,11444,11444,11525,11865
13719,8380,8380,7561,7259
38372,27683,27683,25494,23267
74157,38939,38939,36174,35404
46252,41634,41634,35480,32014
38871,15244,15244,16052,17957
45310,34983,34983,30937,27567
67764,42664,42664,41096,41040
38380,33921,33921,31860,26373
40208,38181,38181,35970,35740
34506,16653,16653,16350,17670
44284,25981,25981,26912,24481
49167,25197,25197,25830,25751
35930,18309,18309,19658,16406
57734,39912,39912,31061,34841
33170,29250,29250,25331,20283
60670,29139,29139,28178,31077
32983,18571,18571,17420,19831
41021,18996,18996,17604,19382
35721,27149,27149,26559,23133
49036,42922,42922,42807,39152
22841,13215,13215,14259,14496
26042,13993,13993,13464,14231
44073,14009,14009,15179,18840
39613,30490,30490,24843,23434
46169,25523,25523,23008,22718
35429,22537,22537,19435,18880
75491,37090,37090,33056,34441
50466,39046,39046,37776,34064
60257,48808,48808,44626,46817
79959,56171,56171,59005,54670
34820,22709,22709,23041,23322
45169,20704,20704,19977,21478
28095,15977,15977,14760,14185
30417,25182,25182,22264,21474
28108,19064,19064,15151,14683
37391,15860,15860,17701,17600
26828,16833,16833,11878,9629
63753,48453,48453,45119,44885
69564,27013,27013,25527,31201
46687,34847,34847,32381,31999
26791,19549,19549,18243,17006
40658,33493,33493,21167,34102
89367,64996,64996,57073,53070
89367,64996,64996,57073,53070
36957,28819,28819,27912,28910
111067,87419,87419,79504,100246
53704,32020,32020,33398,33016
50320,40658,40658,41208,40638
32420,18695,18695,19160,17818
72428,53973,53973,52299,56011
95614,53665,53665,58003,53412
63538,49830,49830,48498,45493
59024,64180,64180,56240,42998
71281,29213,29213,27175,33269
54139,45329,45329,40283,40188
65507,31986,31986,30578,40926
40593,23701,23701,26420,28085
14726,15557,15557,13757,12039
91706,74006,74006,69945,63654
67590,48831,48831,51809,48563
94895,60266,60266,61013,70226
66293,39749,39749,42424,45446
73577,65387,65387,64530,60901
25695,18922,18922,16130,15534
75476,64134,64134,58165,51669
54186,37919,37919,34112,35775
111952,94992,94992,98395,106787
35311,22084,22084,22416,21966
56639,37278,37278,38618,35953
78934,55998,55998,51118,50476
71388,30837,30837,34432,48077
55546,47204,47204,43359,39440
45039,29947,29947,30495,31034
30346,28323,28323,23091,19402
69890,54009,54009,51956,52218
56388,34437,34437,33998,28220
91893,52610,52610,58350,59147
71346,45782,45782,41106,46410
76946,65134,65134,54793,53268
76815,51875,51875,50944,55910
32121,24300,24300,22818,23380
63401,52196,52196,49944,48730
72678,42777,42777,40029,44728
